date,sample,od,pr,sp,endpoint_1,endpoint_2,endpoint_3,endpoint_4,kinetic_1,kinetic_2,kinetic_3,kinetic_4,kinetic_31,kinetic_32,kinetic_33,kinetic_34,kinetic_51,kinetic_52,kinetic_53,kinetic_54,kinetic_101,kinetic_102,kinetic_103,kinetic_104
919,BSA,0.3,0.28,0.244,0.278,0.2757,0.2763,0.2779,0.2758,0.2725,0.2715,0.2729,0.2678,0.2658,0.2681,0.2648,0.2611,0.2592,0.2612,0.2593,0.2536,0.2475,0.2528,0.2525
919,BSA,0.2,0.191,0.152,0.2526,0.2533,0.2485,0.2545,0.2515,0.2516,0.2463,0.252,0.2419,0.2483,0.2423,0.2497,0.2361,0.2449,0.2385,0.2445,0.2283,0.2355,0.2301,0.2362
920,BSA,0.9,0.647,0.61,0.3791,0.3902,0.4003,0.3924,0.3743,0.3806,0.3899,0.3849,0.3554,0.3534,0.3413,0.3607,0.3368,0.3518,0.3381,0.3424,0.3149,0.4153,0.305,0.3259
920,BSA,0.8,0.6,0.561,0.3849,0.3831,0.3817,0.3785,0.3768,0.3725,0.3711,0.3664,0.3548,0.348,0.3597,0.3401,0.3487,0.3282,0.325,0.3239,0.4527,0.3884,0.3686,0.3367
920,BSA,0.7,0.536,0.505,0.3682,0.3585,0.3623,0.3634,0.3604,0.3474,0.3513,0.3529,0.3389,0.3318,0.3365,0.3337,0.3293,0.3304,0.313,0.3307,0.3222,0.3351,0.2973,0.2794
920,BSA,0.6,0.469,0.446,0.3585,0.3462,0.3521,0.3454,0.3499,0.3382,0.3427,0.3379,0.3366,0.3261,0.3253,0.322,0.3282,0.3131,0.3275,0.3107,0.3308,0.3283,0.2836,0.283
920,BSA,0.5,0.41,0.392,0.3355,0.3373,0.3362,0.3321,0.3286,0.3314,0.3272,0.3231,0.3195,0.3213,0.3214,0.3135,0.3126,0.3035,0.3062,0.3073,0.2825,0.3051,0.2948,0.2861
920,BSA,0.4,0.319,0.306,0.3131,0.3084,0.3163,0.3035,0.3088,0.3025,0.3118,0.2987,0.3017,0.2966,0.3002,0.2913,0.2912,0.2913,0.2943,0.2857,0.2834,0.2738,0.2821,0.2866
920,BSA,0.3,0.218,0.206,0.2823,0.2734,0.2755,0.2758,0.2795,0.2714,0.2734,0.2701,0.2738,0.2708,0.2697,0.2647,0.2704,0.2631,0.2656,0.2599,0.2536,0.2525,0.2544,0.2522
920,BSA,0.2,0.171,0.156,0.2642,0.2604,0.2564,0.2677,0.2622,0.2586,0.2544,0.2656,0.2595,0.2555,0.2498,0.2609,0.2527,0.2473,0.2448,0.2546,0.2421,0.2386,0.2395,0.2469
