"","MaxGR","DTime","SOD","LagTime","Sample","Media","Replicate"
"57",0.00329970224574488,210.063553902111,1.695,93.654991493201,"YBR196C-AD:kan","SC+GLU","three"
"58",0.00339997226517071,203.868480828664,1.694,133.303340691775,"YBR196C-AD:kan","SC+GLU","three"
"59",0.000360363870140508,1923.46469220037,0.094,719.679138234855,"SC+GLU","SC+GLU","three"
"60",0.000372443353270827,1861.08081798929,0.089,29.9999999999992,"SC+GLU","SC+GLU","three"
"61",0.00580699167528594,119.364245605848,1.983,73.8032768780455,"FY4","YPDA","four"
"62",0.00551386942196426,125.709756164849,1.94,97.8939600703103,"FY4","YPDA","four"
"63",0.00475826825764822,145.672152772348,1.957,96.9080156477816,"ADE2-GFP","YPDA","four"
"64",0.00471594847723514,146.979379419837,1.966,97.6284215015529,"ADE2-GFP","YPDA","four"
"65",0.00510253295658309,135.843743971447,1.977,56.320598340292,"YBR196C-AD","YPDA","four"
"66",0.00470261994199685,147.395959934967,1.964,70.6167262547362,"YBR196C-AD","YPDA","four"
"67",0.00315624402872447,219.61140338064,1.906,98.8914813735778,"YBR196C-AD:kan","YPDA","four"
"68",0.0030683057006529,225.90551535085,1.916,77.179674735309,"YBR196C-AD:kan","YPDA","four"
"69",0.00056981444531001,1216.44367963124,0.115,374.809853831054,"YPDA","YPDA","four"
"70",0.000569814445310007,1216.44367963125,0.116,420,"YPDA","YPDA","four"
"71",0.00518437744754617,133.699212214577,1.879,79.4681363009322,"FY4","SC+GLU","four"
"72",0.00511907145026561,135.404865373383,1.86,92.7198539926946,"FY4","SC+GLU","four"
"73",0.00429072885236667,161.545323512489,1.805,78.8682713380426,"ADE2-GFP","SC+GLU","four"
"74",0.00435943695237151,158.999244198927,1.807,86.9489046570611,"ADE2-GFP","SC+GLU","four"
"75",0.00480131234076458,144.366192275166,1.695,98.1584009343678,"YBR196C-AD","SC+GLU","four"
"76",0.00470866899987268,147.206605641358,1.753,91.5178695637639,"YBR196C-AD","SC+GLU","four"
"77",0.00327621241591236,211.569670267218,1.726,123.393536877961,"YBR196C-AD:kan","SC+GLU","four"
"78",0.00381226071710987,181.820508090913,1.661,307.759664147493,"YBR196C-AD:kan","SC+GLU","four"
"79",-4.80991577499546e-05,-14410.7966331406,0.094,182.817023415749,"SC+GLU","SC+GLU","four"
"80",0.000360363870140509,1923.46469220036,0.094,239.999999999997,"SC+GLU","SC+GLU","four"
"81",0.00549184110253517,126.213990466689,2.01,63.3409790540037,"FY4","YPDA","five"
"82",0.00464150297535627,149.336795482015,1.982,91.9092479665706,"FY4","YPDA","five"
"83",0.00445910476325563,155.445367929385,1.972,71.9411321564701,"ADE2-GFP","YPDA","five"
"84",0.00556015693677567,124.663240344058,1.975,123.341483657888,"ADE2-GFP","YPDA","five"
"85",0.00488135138004302,141.999033995753,1.995,40.3948736419932,"YBR196C-AD","YPDA","five"
"86",0.00436046665493409,158.961697316413,1.979,58.71845581705,"YBR196C-AD","YPDA","five"
"87",0.00293321456645874,236.309743066897,1.904,82.1362228029701,"YBR196C-AD:kan","YPDA","five"
"88",0.00322170373176519,215.1492620894,1.949,65.6746511658389,"YBR196C-AD:kan","YPDA","five"
"89",0.000836864037702535,828.267375980047,0.117,350.08345150369,"YPDA","YPDA","five"
"90",0.000843926932809638,821.335537014193,0.117,400.084628582209,"YPDA","YPDA","five"
"91",0.0051860363532991,133.656444602244,1.843,76.0125244326601,"FY4","SC+GLU","five"
"92",0.00526268072116028,131.70990551886,1.85,95.7465659033887,"FY4","SC+GLU","five"
"93",0.00649782768932334,106.673678296958,1.783,29.9999999999999,"ADE2-GFP","SC+GLU","five"
"94",0.00519896207154388,133.324146439504,1.793,29.9999999999999,"ADE2-GFP","SC+GLU","five"
"95",0.00485159598140675,142.869930475737,1.751,81.8244317730832,"YBR196C-AD","SC+GLU","five"
"96",0.00477002812135577,145.31301764379,1.749,83.7172736520888,"YBR196C-AD","SC+GLU","five"
"97",0.00345989312272144,200.337743385188,1.71,130.678167217472,"YBR196C-AD:kan","SC+GLU","five"
"98",0.00337914269966637,205.125158114329,1.758,136.258285630617,"YBR196C-AD:kan","SC+GLU","five"
"99",0.00036832787288614,1881.87544735236,0.091,749.02346316084,"SC+GLU","SC+GLU","five"
"100",0.000380956527454066,1819.49154459238,0.09,179.999999999997,"SC+GLU","SC+GLU","five"
"101",0.00563036984701263,123.108641065154,1.992,66.0005347553898,"FY4","YPDA","six"
"102",0.0060982250729291,113.663758269095,1.997,62.6061136371067,"FY4","YPDA","six"
"103",0.00429269299553082,161.471407641215,1.959,56.6467209908953,"ADE2-GFP","YPDA","six"
"104",0.00437645592005917,158.380934989647,1.962,95.8368519729542,"ADE2-GFP","YPDA","six"
"105",0.00451735211181532,153.441034349966,1.966,58.0203716478688,"YBR196C-AD","YPDA","six"
"106",0.00614118109920795,112.868708699918,1.981,30,"YBR196C-AD","YPDA","six"
"107",0.0030672966240084,225.979833555885,1.917,69.6757612608808,"YBR196C-AD:kan","YPDA","six"
"108",0.00366530480585885,189.110378883627,1.973,30,"YBR196C-AD:kan","YPDA","six"
"109",0.000560237277212716,1237.23859291992,0.116,345.063025951878,"YPDA","YPDA","six"
"110",0.000564985277125761,1226.84113838537,0.115,390,"YPDA","YPDA","six"
"111",0.00667762911826794,103.80138942783,1.85,30,"FY4","SC+GLU","six"
"112",0.00506104633453891,136.957288027496,1.829,75.5192228200184,"FY4","SC+GLU","six"
"113",0.00868733834696079,79.7882104824936,1.793,30,"ADE2-GFP","SC+GLU","six"
"114",0.00702832134694976,98.6220103411701,1.797,30,"ADE2-GFP","SC+GLU","six"
"115",0.00476521776947019,145.459707004537,1.768,79.4422427233733,"YBR196C-AD","SC+GLU","six"
"116",0.00479868963071695,144.445095203289,1.75,81.5098258264618,"YBR196C-AD","SC+GLU","six"
"117",0.0034092949706806,203.311003160742,1.675,135.714809780463,"YBR196C-AD:kan","SC+GLU","six"
"118",0.00337925664556145,205.118241454189,1.707,110.67532977193,"YBR196C-AD:kan","SC+GLU","six"
"119",0.000380956527454067,1819.49154459237,0.089,449.999999999999,"SC+GLU","SC+GLU","six"
"120",4.3369327508651e-06,159824.286051399,0.092,1350.00000000075,"SC+GLU","SC+GLU","six"
"121",0.00559715977888079,123.839091243264,1.993,69.1648488180589,"FY4","YPDA","seven"
"122",0.00580638102369014,119.376799030565,1.958,68.490341345268,"FY4","YPDA","seven"
"123",0.00418199376122574,165.745627596724,1.948,68.602417334463,"ADE2-GFP","YPDA","seven"
