"","Date","MaxGR","DTime","EOD","SOD","LagTime","Sample","Media","Replicate"
"44",20200122,0.00522002999628287,132.786053155543,0.6,1.903,49.8642952142952,"","YPDA","3"
"45",20200122,0.00524161552070976,132.239226212091,0.4,1.908,52.4965255151901,"","YPDA","3"
"46",20200122,0.00572488794773479,121.076113085184,0.2,1.928,77.3524952855479,"","YPDA","3"
"47",20200122,0.00586921767545541,118.098734599439,0.1,1.939,72.4447762302501,"","YPDA","3"
"48",20200122,0.0058761298322874,117.959813745321,0.05,1.95,70.4421070647648,"","YPDA","3"
"49",20200122,0.00585760299084072,118.332905395567,0.025,1.99,82.5582214545457,"","YPDA","3"
"50",20200122,0.000192313619278878,3604.25425489393,NA,0.105,620.000000000003,"blank","YPDA","6"
"51",20200122,0.000157331375680667,4405.6513048409,NA,0.085,329.999999999996,"blank","SC+GLU","5"
"52",20200122,0.00312202835779967,222.018220567496,1,1.864,34.5126112243153,"","SC+GLU","3"
"53",20200122,0.00334312293792561,207.335235176855,0.8,1.85,34.9037263563092,"","SC+GLU","3"
"54",20200122,0.00400853387306741,172.917880329532,0.6,1.831,45.98185451601,"","SC+GLU","3"
"55",20200122,0.00443651075913559,156.237011063847,0.4,1.856,50.3649103126348,"","SC+GLU","3"
"56",20200122,0.00504764433373384,137.320923332015,0.2,1.825,71.0638810020673,"","SC+GLU","3"
"57",20200122,0.00535919918862783,129.337827567745,0.1,1.858,80.4206470118218,"","SC+GLU","3"
"58",20200122,0.00539111824418722,128.572060408303,0.05,1.886,89.1430071832431,"","SC+GLU","3"
"59",20200122,0.00552653473311177,125.421663670548,0.025,1.922,136.829089739245,"","SC+GLU","3"
"60",20200122,7.79735984212803e-05,8889.51125244944,NA,0.086,510.000000000001,"blank","SC+GLU","6"
"61",20200123,9.66191091173727e-05,7174.0175094961,NA,0.104,470.000000000004,"blank","YPDA","1"
"62",20200123,0.0039215668328055,176.752611930896,1,1.925,28.3570084846142,"","YPDA","1"
"63",20200123,0.00443474854963078,156.299094030405,0.8,1.909,29.1268738738192,"","YPDA","1"
"64",20200123,0.00466066860509501,148.72269180482,0.6,1.929,32.5675894579079,"","YPDA","1"
"65",20200123,0.00508107842950788,136.417335448821,0.4,1.939,43.0516731336073,"","YPDA","1"
"66",20200123,0.00562933098233549,123.131360144749,0.2,1.929,76.7305353539675,"","YPDA","1"
"67",20200123,0.00577064156147841,120.116138418128,0.1,1.938,81.562698573767,"","YPDA","1"
"68",20200123,0.00585651893770578,118.354809048304,0.05,1.947,93.0456265656326,"","YPDA","1"
"69",20200123,0.00583462453351408,118.798934974909,0.025,1.976,120.255417555893,"","YPDA","1"
"70",20200123,0,Inf,NA,0.102,-Inf,"blank","YPDA","2"
"71",20200123,0.000151521673850375,4574.57446810162,NA,0.089,569.829541785793,"blank","SC+GLU","1"
"72",20200123,0.00303361437252108,228.488889965242,1,1.885,29.3214413134207,"","SC+GLU","1"
"73",20200123,0.00328820612690827,210.797971236577,0.8,1.88,30.5933631089575,"","SC+GLU","1"
"74",20200123,0.00380366761514878,182.231270103456,0.6,1.857,32.1829703726021,"","SC+GLU","1"
"75",20200123,0.00441893154128503,156.858546932451,0.4,1.846,43.167251228955,"","SC+GLU","1"
"76",20200123,0.00517952308540072,133.824518035973,0.2,1.853,71.8189976657172,"","SC+GLU","1"
"77",20200123,0.00521386568770032,132.943044964718,0.1,1.852,75.88305343564,"","SC+GLU","1"
"78",20200123,0.00530930068331871,130.55338582306,0.05,1.849,107.707032834856,"","SC+GLU","1"
"79",20200123,0.00529752111919485,130.843684237222,0.025,1.867,132.54521570324,"","SC+GLU","1"
"80",20200123,7.70721493405104e-05,8993.48450109481,NA,0.087,390.000000000004,"blank","SC+GLU","2"
"81",20200123,9.56945101615047e-05,7243.33276161937,NA,0.105,679.999999999997,"blank","YPDA","3"
"82",20200123,0.00382061993374843,181.422699085353,1,1.921,28.2061921283764,"","YPDA","2"
"83",20200123,0.0043604382018545,158.962734585976,0.8,1.923,29.9358383473688,"","YPDA","2"
"84",20200123,0.00464342240536366,149.275064822723,0.6,1.916,34.8690002953814,"","YPDA","2"
"85",20200123,0.00517331100376371,133.985213735587,0.4,1.916,41.7299489457456,"","YPDA","2"
"86",20200123,0.00557392307716901,124.355354561512,0.2,1.917,72.1411969048485,"","YPDA","2"
"87",20200123,0.00583049625897833,118.883050390878,0.1,1.938,77.1517757283511,"","YPDA","2"
"88",20200123,0.00583118871130291,118.868933055859,0.05,1.967,83.8988059465726,"","YPDA","2"
"89",20200123,0.00589464215334395,117.589357000532,0.025,1.989,105.138753658953,"","YPDA","2"
"90",20200123,9.66191091173729e-05,7174.01750949608,NA,0.104,320.000000000004,"blank","YPDA","4"
"91",20200123,0.000144933244242705,4782.52718471687,NA,0.093,329.83695331103,"blank","SC+GLU","3"
"92",20200123,0.0030810145753401,224.973677861758,1,1.859,28.971832654416,"","SC+GLU","2"
"93",20200123,0.00336222964112013,206.157001319226,0.8,1.88,29.2873286556407,"","SC+GLU","2"
"94",20200123,0.00370709228070684,186.978669014352,0.6,1.871,30.1333863422176,"","SC+GLU","2"
"95",20200123,0.00438235509675976,158.167735214439,0.4,1.857,40.6189461007017,"","SC+GLU","2"
"96",20200123,0.00507768286670077,136.508560844864,0.2,1.865,66.3980453536263,"","SC+GLU","2"
"97",20200123,0.00530119075460145,130.753110507916,0.1,1.854,77.984613493427,"","SC+GLU","2"
"98",20200123,0.00530208604936517,130.731031919585,0.05,1.886,94.8352524526087,"","SC+GLU","2"
"99",20200123,0.00546885603711156,126.744455486899,0.025,1.916,121.33284269278,"","SC+GLU","2"
"100",20200123,0.000115608224010761,5995.65633406344,NA,0.087,830.000000000004,"blank","SC+GLU","4"
"101",20200123,6.31916263636224e-05,10968.9720054265,NA,0.105,899.999999999996,"blank","YPDA","5"
