"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationPoint"
"67","SC+GAL","YBR196C-A",0.00711189322538808,97.4631028044043,5.40826058573502
"68","SC+GAL","YBR196C-A",0.00735450585882363,94.2479608916669,4.69865432719285
"69","SC+GAL","YBR196C-A",0.00608016713670293,114.001336636909,5.38595736583778
"70","SC+GAL","YBR196C-A",0.00602908461796582,114.967233747966,5.69228105246132
"71","SC+GAL","YBR196C-A",0.00718347323102652,96.4919278276331,6.14226630658325
"72","SC+GAL","YBR196C-A",0.0079245527726834,87.468302684447,4.84220332518353
"73","SC+GAL","YEL035C",0.00762590005122772,90.8938192087048,6.30508541608531
"74","SC+GAL","YEL035C",0.00841939172599392,82.3274653464491,5.56086415353662
"75","SC+GAL","YEL035C",0.00613156695673608,113.045683990853,3.33595934189983
"76","SC+GAL","YEL035C",0.00620038895666641,111.79091915108,3.27710603500495
"77","SC+GAL","YEL035C",NA,NA,NA
"78","SC+GAL","YEL035C",0.00711247558770639,97.4551226239736,2.63854457910858
"79","SC+GAL","YEL035C",0.00793435885876322,87.3602004772432,1.44485451972008
"80","SC+GAL","YEL035C",0.00866289099459924,80.0133790200152,1.94462181858487
"81","SC+GAL","YEL035C",NA,NA,NA
"82","SC+GAL","YEL035C",0.00734994046589965,94.3065027228221,2.89674797902481
"83","SC+GAL","YEL035C",0.00814909221735342,85.0582079662683,2.44499790495011
"84","SC+GAL","YEL035C",NA,NA,NA
"85","SC+GAL","YPR126C",0.00565741196543883,122.520188523372,3.44898102439432
"86","SC+GAL","YPR126C",0.00663191046920416,104.51696894562,3.70892317126035
"87","SC+GAL","YPR126C",0.0055809597838888,124.19856214713,2.89674797902481
"88","SC+GAL","YPR126C",NA,NA,NA
"89","SC+GAL","YPR126C",0.00534392384476731,129.707533395833,2.74393434478308
"90","SC+GAL","YPR126C",0.00929480894761053,74.573580206631,2.64940719551734
"91","SC+GAL","YPR126C",0.0100366550588775,69.0615724555413,1.80512966527322
"92","SC+GAL","YPR126C",0.00743325911894202,93.2494306291049,2.62834812924107
"93","SC+GAL","YPR126C",0.00787108680229168,88.062449058259,2.10573874435407
"94","SC+GAL","YPR126C",NA,NA,NA
"95","SC+GAL","YPR126C",NA,NA,NA
"96","SC+GAL","YPR126C",0.00762266163443399,90.9324346011606,2.87979054195902
