"","Media","Sample","StartingOD","ObsSOD","MaxGrowthRate","DoubleTime","LagTime","SatPoint"
"49","YPDA","1.2_Y",0.03125,0.114,0.00316532174650098,218.981587361906,242.842417489797,0.873
"50","YPDA","1.3_Y",0.03125,0.111,0.00331135910446407,209.324074705612,262.848652169868,0.876
"51","YPDA","2.1_Y",0.03125,0.114,0.00544950293313922,127.194569681726,166.666346361755,1.105
"52","YPDA","2.2_Y",0.03125,0.111,0.00568908419787908,121.838094928944,175.179473123715,1.106
"53","YPDA","2.3_Y",0.03125,0.117,0.005476049567373,126.577959536708,165.873311822039,1.105
"54","YPDA","3.1_Y",0.03125,0.109,0.00328939668752235,210.721675251044,269.390425111342,0.888
"55","YPDA","3.2_Y",0.03125,0.113,0.00322113056608244,215.187545596127,259.66270751546,0.901
"56","YPDA","3.3_Y",0.03125,0.11,0.00335015772568651,206.899864816934,279.74584995301,0.906
"57","YPDA","4.1_Y",0.03125,0.116,0.00554433473447452,125.018999349007,173.935163394035,1.139
"58","YPDA","4.2_Y",0.03125,0.113,0.00568285286631221,121.971692188074,181.903065792364,1.142
"59","YPDA","4.3_Y",0.03125,0.115,0.00547327058353972,126.642227892864,166.866452280534,1.161
"60","YPDA","1.1_Y",0.0625,0.126,0.00334695758738632,207.09768871055,174.55415416079,0.879
"61","YPDA","1.2_Y",0.0625,0.131,0.0032066727852168,216.157751971279,158.316712884072,0.882
"62","YPDA","1.3_Y",0.0625,0.126,0.00339430660940743,204.208770839636,176.904804947913,0.888
"63","YPDA","2.1_Y",0.0625,0.134,0.00550147923066424,125.99287418854,116.358263448225,1.136
"64","YPDA","2.2_Y",0.0625,0.128,0.00574417279288586,120.669625645386,122.019782468264,1.13
"65","YPDA","2.3_Y",0.0625,0.133,0.0055043564995959,125.927014467692,114.709308256783,1.132
"66","YPDA","3.1_Y",0.0625,0.121,0.00335151640218012,206.81598935606,174.609708343698,0.905
"67","YPDA","3.2_Y",0.0625,0.129,0.00316827823258841,218.777244192238,162.133735793032,0.902
"68","YPDA","3.3_Y",0.0625,0.127,0.0032879729309877,210.812921854477,180.411410780285,0.924
"69","YPDA","4.1_Y",0.0625,0.131,0.00558776848646612,124.047226050755,121.186607027264,1.192
"70","YPDA","4.2_Y",0.0625,0.132,0.00573086940236981,120.949742856349,128.819404116389,1.206
"71","YPDA","4.3_Y",0.0625,0.136,0.00557275181277764,124.381491199849,124.474528448051,1.245
"72","YPDA","1.1_Y",0.125,0.15,0.00342808660448543,202.196519671646,104.644168538988,0.892
"73","YPDA","1.2_Y",0.125,0.157,0.00331141616950618,209.320467461302,97.6261003490396,0.898
"74","YPDA","1.3_Y",0.125,0.154,0.00343082365865181,202.035210644527,104.859178692154,0.906
"75","YPDA","2.1_Y",0.125,0.167,0.00541600591128385,127.981245204298,79.3948528399201,1.147
"76","YPDA","2.2_Y",0.125,0.159,0.00567925428414655,122.048977890432,84.639665375474,1.158
"77","YPDA","2.3_Y",0.125,0.159,0.00562645810716459,123.194231141135,79.3171855692946,1.186
"78","YPDA","3.1_Y",0.125,0.149,0.00344252032514484,201.348754718182,108.867556626215,0.908
"79","YPDA","3.2_Y",0.125,0.155,0.00329314738120414,210.48167613637,94.4958213783982,0.929
"80","YPDA","3.3_Y",0.125,0.151,0.00339058623745005,204.432841997624,99.9829397893153,0.934
"81","YPDA","4.1_Y",0.125,0.16,0.00569457345304514,121.720649715966,84.1626583938278,1.237
"82","YPDA","4.2_Y",0.125,0.161,0.00579364012843116,119.639322635602,84.4225445678712,1.311
"83","YPDA","4.3_Y",0.125,0.168,0.00555455931820871,124.788869980684,76.4275761853924,1.333
"84","YPDA","1.1_Y",0.25,0.222,0.00319122855902968,217.203866078054,49.0451221016016,0.919
"85","YPDA","1.2_Y",0.25,0.217,0.00320298343586004,216.4067327978,48.8572516980041,0.912
"86","YPDA","1.3_Y",0.25,0.223,0.00318779470164877,217.437835692945,46.8044999270817,0.927
"87","YPDA","2.1_Y",0.25,0.236,0.00516775196464011,134.129343920286,54.9677566104213,1.297
"88","YPDA","2.2_Y",0.25,0.236,0.00514581899085414,134.701042106592,51.9742355974399,1.209
"89","YPDA","2.3_Y",0.25,0.237,0.00511832139716345,135.424707980254,53.8857000550835,1.218
"90","YPDA","3.1_Y",0.25,0.218,0.00319911938103477,216.668119567249,51.1189559335538,0.938
"91","YPDA","3.2_Y",0.25,0.219,0.00319350901780127,217.048762566883,48.0512621822474,0.925
"92","YPDA","3.3_Y",0.25,0.213,0.00327153486951533,211.872166492492,48.4620342164674,0.916
"93","YPDA","4.1_Y",0.25,0.228,0.00527626279942805,131.37085981295,50.9683754645373,1.335
"94","YPDA","4.2_Y",0.25,0.239,0.00526278515998409,131.707291764508,57.5708113446852,1.282
