"","OD","Sample","Media","y0","y0_lm","mumax","lag","r2"
"0.0625:4.3_S.1:SC_GLU",0.0625,"4.3_S.1","SC_GLU",0.1278534919875,0.0657174308140274,0.00838916272875362,79.3310174741364,0.973429782347959
"0.03125:4.3_S.2:SC_GLU",0.03125,"4.3_S.2","SC_GLU",0.0442502683822677,0.0194553152157955,0.00940763488004632,87.3483227656594,0.999186683467695
"0:BLANK_SC:SC_GLU",0,"BLANK_SC","SC_GLU",0.308568985992363,0.00495049932080665,0.00385436039432682,1072.15116612476,0.680619658036238
"0.25:1.1_Y:YPDA",0.25,"1.1_Y","YPDA",0.429581949819447,0.368447715395154,0.00445621614471741,34.4493409805297,0.999213294187871
"0.125:1.1_Y.1:YPDA",0.125,"1.1_Y.1","YPDA",0.1895610629301,0.15044351890229,0.00499237971213318,46.2952527052395,0.998861958837333
"0.0625:1.1_Y.2:YPDA",0.0625,"1.1_Y.2","YPDA",0.10680787987737,0.0682352056442312,0.00568450631456569,78.8232147494276,0.992941182895477
"0.03125:1.1_Y.3:YPDA",0.03125,"1.1_Y.3","YPDA",0.0512371215436257,0.0240229293874023,0.00626305550980197,120.940255584114,0.998252077425796
"0.25:1.2_Y:YPDA",0.25,"1.2_Y","YPDA",0.414481454243117,0.35036135447877,0.00456952034818386,36.7791704688282,0.999175698476745
"0.125:1.2_Y.1:YPDA",0.125,"1.2_Y.1","YPDA",0.211716055342087,0.172990947822748,0.00471542848436851,42.8395314649564,0.998458724033774
"0.0625:1.2_Y.2:YPDA",0.0625,"1.2_Y.2","YPDA",0.124063734134715,0.0888481487184117,0.004933351180423,67.6754376401014,0.99923398868051
"0.03125:1.2_Y.3:YPDA",0.03125,"1.2_Y.3","YPDA",0.0630933327463611,0.0413280699217747,0.0051833429973302,81.6216820400357,0.997268905814358
"0.25:1.3_Y:YPDA",0.25,"1.3_Y","YPDA",0.434614927434701,0.370219012560434,0.00451375573450248,35.5282092857053,0.999628892965621
"0.125:1.3_Y.1:YPDA",0.125,"1.3_Y.1","YPDA",0.202179954754852,0.157823624226779,0.00493386155955132,50.2000422619668,0.999679809104596
"0.0625:1.3_Y.2:YPDA",0.0625,"1.3_Y.2","YPDA",0.106462255806874,0.0689469698006044,0.00535021118366321,81.2029369226076,0.998706890169532
