"","Media","Sample","MaxGrowthRate","DoubleTime","LagTime"
"66","SC+GAL","YBR196C-A",0.00624734859378043,161.477680118851,49.8180644025729
"67","SC+GAL","YBR196C-A",0.00668118912147369,98.4516358527065,100.719244411457
"68","SC+GAL","YBR196C-A",0.0067390646145256,99.3067714529298,151.546731212849
"69","SC+GAL","YBR196C-A",0.00574735869216535,130.622706634723,145.121016787621
"70","SC+GAL","YBR196C-A",0.00570511037397541,158.883281962388,119.920830782883
"71","SC+GAL","YBR196C-A",0.00675208121202717,87.0414927476168,50.1768543185002
"72","SC+GAL","YBR196C-A",0.00727566381273017,88.2359097306477,98.9424672430995
"73","SC+GAL","YEL035C",0.00709233300443283,126.010625087984,40.0380628970198
"74","SC+GAL","YEL035C",0.00754275195439788,87.6697103701753,66.9299962547737
"75","SC+GAL","YEL035C",0.00580194731757586,118.059579199222,492.562323022141
"76","SC+GAL","YEL035C",0.00569213393008193,120.181947683314,305.997113356411
"77","SC+GAL","YEL035C",0.00685350561519862,101.378621457592,394.358198498207
"78","SC+GAL","YEL035C",0.00664650753124307,93.5160301117758,433.483572878263
"79","SC+GAL","YEL035C",0.00739352693211625,70.6774795764571,635.821949435193
"80","SC+GAL","YEL035C",0.00793442976879024,72.7069184546486,547.780094442543
"81","SC+GAL","YEL035C",0.00845645644580483,80.6055452906165,540.367493560547
"82","SC+GAL","YEL035C",0.00690285350279531,124.80904819734,490.224899110423
"83","SC+GAL","YEL035C",0.00760319352013766,130.743258615875,541.970101989769
"84","SC+GAL","YEL035C",NA,NA,NA
"85","SC+GAL","YPR126C",0.00535810098466431,141.549086669997,309.51646723518
"86","SC+GAL","YPR126C",0.00498142612258675,132.907557169949,144.414276343773
"87","SC+GAL","YPR126C",0.00469191740671648,125.192575624961,342.546630175961
"88","SC+GAL","YPR126C",NA,NA,NA
"89","SC+GAL","YPR126C",0.00476706766286341,117.611146210791,391.250864844081
"90","SC+GAL","YPR126C",0.00666663535965371,165.853513795039,21.8042549809727
"91","SC+GAL","YPR126C",0.00633723149093822,132.003869768008,39.9745070498376
"92","SC+GAL","YPR126C",0.00687407930426256,89.7972954541232,482.309014966386
"93","SC+GAL","YPR126C",0.00729189218776532,130.866877841456,596.203381127507
"94","SC+GAL","YPR126C",NA,NA,NA
"95","SC+GAL","YPR126C",NA,NA,NA
"96","SC+GAL","YPR126C",0.00710387830906508,79.2613854387527,482.654520620783
