"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"56","YBR4.3..57",1.13574190629641,0.0244317013703472,0.459090704121287,8.31516169515358,1.50982621590356,12.6638145807107,12.6579375,0.0224694864431495,""
"57","YBR4.3..58",1.08298512457098,0.0195223312006467,0.474343819574574,8.42790921660929,1.46127587618114,11.9613034998191,11.9695875,0.0206053304124823,""
"58","YBR4.3..59",1.08855883054647,0.0212221421237491,0.47152449918184,8.30895675343199,1.47001307835044,12.1484203450226,12.1488,0.0211256824496458,""
"59","MEDIA..60",0.0102717224534628,0.00199629203702538,0.308682608888134,4.60667175511322,2.24550123849426,0.146122770854845,0.1460375,0.00296470199614937,""
"60","MEDIA..61",0.00818058185857625,0.00116791831488329,0.344699828834508,5.20016111497225,2.01087184436267,0.113496146915236,0.1127375,0.000567229410894237,""
"61","BLANK..62",0.0021,0.0036,3.92049828029167,-0.223305476692817,0.176800786788861,0.0412387115372003,0.038075,0.00119180826415264,"questionable fit (k < n0)"
"62","YBR6.1..63",1.06342985149078,0.0184705287861881,0.516671445384519,7.81068288326193,1.3415627798902,12.3996038250053,12.4092375,0.0203771743553191,""
"63","YBR6.1..64",1.0516275948312,0.0190752614306077,0.503401480682731,7.92885376848255,1.37692717872,12.1364559276293,12.145025,0.0203570266024096,""
"64","YBR6.1..65",1.08205009774181,0.0231097289886194,0.470318810699843,8.13229292723798,1.47378153880031,12.26169673662,12.248875,0.0164343236660693,""
"65","YBR6.2..66",1.10027328560896,0.0228265787373804,0.479507183651658,8.03830245108319,1.44554076391791,12.5722907400802,12.5656625,0.0163575913043926,""
"66","YBR6.2..67",1.05825386344291,0.0306018256066683,0.506588029585773,6.93654810491102,1.368266007246,13.2376164911849,13.2387875,0.019333821467391,""
"67","YBR6.2..68",1.1038853878687,0.0200943853119173,0.489997788752998,8.13836309988791,1.41459246647611,12.5091502331735,12.505925,0.021481583192188,""
"68","YBR6.3..69",1.09989937915858,0.0440472988821397,0.542539285565876,5.85550103437126,1.2775981371321,14.9259537693401,14.9112,0.0190364401822427,""
"69","YBR6.3..70",1.1340157012403,0.0219908468205109,0.465881074182854,8.42127257340992,1.48782000165109,12.5297015282464,12.5296375,0.022977907572347,""
"70","YBR6.3..71",1.09918708143464,0.0218181253067426,0.476498154413787,8.18373817313893,1.45466918211402,12.4029166417046,12.4042875,0.0204025318581233,""
"71","MEDIA..72",0.002,0.0032,4.25062204756777,-0.230749580187437,0.163069586710625,0.039221145886349,0.03405,0.0010708521530079,"questionable fit (k < n0)"
"72","MEDIA..73",134667.769392644,0.00298709546268335,0.0957481267638834,184.066471179687,7.23927667294482,0.17063224218052,0.17305,0.00339067692220483,""
"73","BLANK..74",0.0032,0.00583842845529962,0.179596799134374,-4.42256324450401,3.85946288520061,0.0728696744551573,0.06075,0.00173907888974811,"questionable fit (k < n0)"
"74","REF4.1..75",1.03810087848909,0.0195937781713555,0.516547162462517,7.64863582359213,1.34188556424457,12.2690222929319,12.273225,0.0200978988601979,""
"75","REF4.1..76",1.05573018341574,0.0205689635453659,0.513486128648277,7.63122687693618,1.34988491779635,12.4944009621262,12.5048625,0.0196807454472004,""
"76","REF4.1..77",1.06950573336206,0.0206280245953768,0.510828585141,7.69108379698362,1.35690758254772,12.5939461318218,12.6034125,0.0198332437345164,""
"77","REF4.2..78",1.06778752867311,0.019917013395934,0.497172616482384,7.97095588282522,1.39417811355768,12.277079783242,12.2845,0.0197146054205019,""
"78","REF4.2..79",1.04793406268981,0.0157638989674239,0.464608981092813,9.00046391634255,1.49189363264047,10.9857357735389,10.991225,0.0188600351590964,""
"79","REF4.2..80",1.08942359666079,0.0189414761722402,0.47774755868345,8.44485818591768,1.45086493475777,12.0153010621904,12.0166875,0.0164982649077351,""
"80","REF4.3..81",1.09549872449388,0.028800010413997,0.491453901897757,7.34951555259145,1.41040121542091,13.2571329208419,13.2552875,0.0183352888371012,""
"81","REF4.3..82",1.18946036829377,0.0301537036082757,0.470619570740242,7.7541816668745,1.47283968550158,13.9163127381458,13.9074375,0.0243368350997722,""
"82","REF4.3..83",1.09190642755461,0.027207844254283,0.493415356721221,7.43175429044378,1.4047945024775,13.1272869388075,13.12655,0.0219750243476759,""
"83","MEDIA..84",0.0022,0.0037,3.99523709077996,-0.225986015604835,0.173493378442937,0.0431862724788107,0.03795,0.00128519800490789,"questionable fit (k < n0)"
"84","MEDIA..85",0.00122895687252376,0.000459819570615924,7.19834977789816,0.0714657304435817,0.0962925117487604,0.0237968189549232,0.0238875,0.000918683122511005,""
"85","BLANK..86",0.007,0.0314822012833471,0.0614496802341565,-4.09238862184764,11.2799151748012,0.277311351030652,0.247275,0.0136691970936782,"questionable fit (k < n0)"
"86","REF3.1..87",1.02957878089187,0.0225789459768451,0.52698757875543,7.20645609830134,1.3153007936106,12.6168485213951,12.620175,0.0206088428088825,""
"87","REF3.1..88",1.02901960680683,0.0232217932001239,0.520653175647816,7.23791830413634,1.33130308808259,12.5761433399763,12.5806875,0.0192071094786087,""
"88","REF3.1..89",1.033065621404,0.0221189790900597,0.517977785080708,7.37909332840951,1.33817935927878,12.4822646083438,12.4873,0.0190189315667578,""
"89","REF3.2..90",1.0396971492504,0.0227171561845608,0.516444531180622,7.36085305536551,1.34215223264224,12.5803700549555,12.5823,0.0206505549695487,""
"90","REF3.2..91",1.02581491568708,0.0274874328115899,0.513710897543138,6.9929457741079,1.34929428959941,12.7789185745594,12.7692125,0.019282304543077,""
"91","REF3.2..92",1.05539669544952,0.0238513662758357,0.514014604311027,7.3285306350621,1.34849705581619,12.802729035616,12.8061,0.0190304944987205,""
"92","REF3.3..93",1.04134853841033,0.026365984654369,0.514835433486097,7.09071626806908,1.34634707612576,12.8739135541118,12.8744,0.0191003061633499,""
"93","REF3.3..94",1.098458696668,0.0334901686377169,0.517527976316744,6.6845634682869,1.33934243611927,14.0143025609135,14.0072875,0.020185805590436,""
"94","REF3.3..95",1.121519360197,0.0476512387354007,0.515350270987115,6.04465355828635,1.3450020686557,14.9980643281718,14.97985,0.0235611387671695,""
"95","MEDIA..96",0.0023,0.00311751164512939,0.120003940629209,-11.1540109304648,5.77603682783757,0.050188571031917,0.0462875,0.00179700310589905,"questionable fit (k < n0)"
"96","MEDIA..97",0.0441559818539885,0.0027438907322691,0.411475005883693,6.59625971685247,1.6845426104833,0.563421948303259,0.565575,0.00423029343076178,""
